,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
339,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,40.6368371,-74.0233013,60,371,371,354,,,,
368,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,40.7448591,-73.9369449,60,389,409,387,,,,
73,02M655,LIFE SCIENCES SECONDARY SCHOOL,40.7832825,-73.9459371,61,409,424,403,,,,
106,05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,40.8214739,-73.9490389,61,369,361,355,,,,
189,10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),40.8594021,-73.8886743,61,392,401,387,,,,
305,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,40.6663679,-73.9241023,61,362,375,368,,,,
335,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,40.6930052,-73.8690682,61,380,386,383,,,,
448,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,40.5278857,-74.1932553,61,524,568,544,,,,
450,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,35.4328659,-80.5813117,61,398,412,385,,,,
10,02M288,FOOD AND FINANCE HIGH SCHOOL,40.7655356,-73.9931625,62,409,393,392,,,,
35,02M419,LANDMARK HIGH SCHOOL,40.7431223,-74.0025077,62,390,399,381,,,,
129,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,40.8226154,-73.9233477,62,362,378,363,,,,
439,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,40.7514349,-73.9369976,62,393,381,377,,,,
114,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,40.8558937,-73.9260333,63,369,380,349,,,,
125,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,40.8181071,-73.9114331,63,351,375,371,,,,
194,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,40.8705478,-73.8972152,63,367,385,367,,,,
309,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,40.6759239,-73.9392856,63,388,382,373,,,,
320,18K576,VICTORY COLLEGIATE HIGH SCHOOL,40.6460402,-73.8982567,63,387,377,379,,,,
392,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,40.7206577,-73.8194494,63,471,489,481,,,,
128,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,40.822489,-73.92314,64,399,396,391,,,,
173,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,40.827493,-73.9190153,64,400,419,402,,,,
283,15K497,SCHOOL FOR INTERNATIONAL STUDIES,40.6551493,-74.0041149,64,405,415,392,,,,
119,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,40.8169466,-73.9120057,65,364,378,348,,,,
195,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,40.8783054,-73.890843,65,366,364,352,,,,
